title, date, reviews, discount, original price, discounted price
Counter-Strike: Global Offensive,21 Aug 2012,Very Positive,,Free to Play,
Path of Exile,23 Oct 2013,Very Positive,,Free to Play,
Insurgency: Sandstorm,12 Dec 2018,Very Positive,,CDN$ 37.49,
Rocket League®,6 Jul 2015,Very Positive,,CDN$ 21.99,
Warframe,25 Mar 2013,Very Positive,,Free to Play,
Tom Clancy's Rainbow Six® Siege,1 Dec 2015,Very Positive,,CDN$ 19.99,
RimWorld,17 Oct 2018,Overwhelmingly Positive,,CDN$ 39.99,
Grand Theft Auto V,13 Apr 2015,Mixed,,CDN$ 29.99,
Stardew Valley,26 Feb 2016,Overwhelmingly Positive,,CDN$ 16.99,
Black Desert Online,24 May 2017,Mixed,,CDN$ 12.99,
Dota 2,9 Jul 2013,Very Positive,,Free to Play,
PLAYERUNKNOWN'S BATTLEGROUNDS,21 Dec 2017,Mixed,,CDN$ 36.99,
Universe Sandbox ²,24 Aug 2015,Very Positive,-33%,CDN$ 28.99,CDN$ 19.42							
MONSTER HUNTER: WORLD,9 Aug 2018,Mixed,,CDN$ 74.99,
Farming Simulator 19,19 Nov 2018,Mostly Positive,,CDN$ 44.99,
Beat Saber,1 May 2018,Overwhelmingly Positive,,CDN$ 22.79,
War Thunder,15 Aug 2013,Mostly Positive,,Free to Play,
Rust,8 Feb 2018,Very Positive,,CDN$ 39.99,
SMITE®,8 Sep 2015,Very Positive,,Free to Play,
The Forest,30 Apr 2018,Very Positive,,CDN$ 22.79,
Kenshi,6 Dec 2018,Very Positive,,CDN$ 33.99,
Team Fortress 2,10 Oct 2007,Very Positive,,Free to Play,
RESIDENT EVIL 2 / BIOHAZARD RE:2,Jan. 25 2019,,,CDN$ 79.99,
Terraria,16 May 2011,Overwhelmingly Positive,,CDN$ 10.99,
Niplheim's Hunter - Branded Azel,6 Jan 2019,Positive,-30%,CDN$ 22.79,CDN$ 15.95							
ATLAS,22 Dec 2018,Mostly Negative,,CDN$ 33.99,
Enter the Gungeon,5 Apr 2016,Very Positive,-50%,CDN$ 16.99,CDN$ 8.49							
